-1,-1,IOjmcmTa+kfFSeAHt6uEQLMs3Fg=,dPxS+B3jMcJNbGqdTyx4+gYC1ZI=
-1,-2,QeueehtlZnF3pMSk8wGibhsct8k=,bBrduW1ni2eCerDDjooMhqmSTgw=
-2,-1,IOjmcmTa+kfFSeAHt6uEQLMs3Fg=,dPxS+B3jMcJNbGqdTyx4+gYC1ZI=
-1,-3,S0IjmThszqg11XUAOkfxATCdgRo=,1qjMGrl13cGgjIJhwUCcUvLxJws=
-2,-2,QeueehtlZnF3pMSk8wGibhsct8k=,bBrduW1ni2eCerDDjooMhqmSTgw=
-3,-2,QeueehtlZnF3pMSk8wGibhsct8k=,tyEk2vXAnafJISN+XMAE2eeyx5Q=
-4,-2,QeueehtlZnF3pMSk8wGibhsct8k=,i22WLYs7lWMVCE97NsPkRyaaP9I=
-5,-2,SqDweYunXF1X2Q5X31AL2EDFzSE=,bg34RutwlBYr9rUTOx7O5GSkyyw=
-6,-2,SqDweYunXF1X2Q5X31AL2EDFzSE=,tyEk2vXAnafJISN+XMAE2eeyx5Q=
-3,-3,QeueehtlZnF3pMSk8wGibhsct8k=,bBrduW1ni2eCerDDjooMhqmSTgw=
-3,-1,IOjmcmTa+kfFSeAHt6uEQLMs3Fg=,dPxS+B3jMcJNbGqdTyx4+gYC1ZI=
-4,-4,QeueehtlZnF3pMSk8wGibhsct8k=,bBrduW1ni2eCerDDjooMhqmSTgw=
-4,-3,QeueehtlZnF3pMSk8wGibhsct8k=,tyEk2vXAnafJISN+XMAE2eeyx5Q=
-4,-1,QeueehtlZnF3pMSk8wGibhsct8k=,vTlgM+j67uitUshi277aSHcGUpk=
-5,-1,QeueehtlZnF3pMSk8wGibhsct8k=,vTlgM+j67uitUshi277aSHcGUpk=
-5,-3,SqDweYunXF1X2Q5X31AL2EDFzSE=,bg34RutwlBYr9rUTOx7O5GSkyyw=
-5,-4,SqDweYunXF1X2Q5X31AL2EDFzSE=,tyEk2vXAnafJISN+XMAE2eeyx5Q=
-6,-4,SqDweYunXF1X2Q5X31AL2EDFzSE=,wPclukqsXS6ZkLhVsQvAC+fPiqA=
-6,-3,SqDweYunXF1X2Q5X31AL2EDFzSE=,gJ8cp9ThjvBgSCScCE8yGEovS3w=
-7,-3,SqDweYunXF1X2Q5X31AL2EDFzSE=,bBrduW1ni2eCerDDjooMhqmSTgw=
-7,-4,SqDweYunXF1X2Q5X31AL2EDFzSE=,bBrduW1ni2eCerDDjooMhqmSTgw=
