-2,1,E4ZFVX44ifufdADUv+SkE9ep90A=,KeviczrHuondrrAoM+0EA9z1uaY=
-2,0,E4ZFVX44ifufdADUv+SkE9ep90A=,KeviczrHuondrrAoM+0EA9z1uaY=
-2,3,E4ZFVX44ifufdADUv+SkE9ep90A=,G6QcsNZrle1myUCMiVInJoTWRMQ=
-2,2,E4ZFVX44ifufdADUv+SkE9ep90A=,G6QcsNZrle1myUCMiVInJoTWRMQ=
-1,3,E4ZFVX44ifufdADUv+SkE9ep90A=,G6QcsNZrle1myUCMiVInJoTWRMQ=
-1,1,PyuCQTDKlrPgiIwuf/xT7/ukZwc=,KeviczrHuondrrAoM+0EA9z1uaY=
-1,0,PyuCQTDKlrPgiIwuf/xT7/ukZwc=,KeviczrHuondrrAoM+0EA9z1uaY=
-1,2,PyuCQTDKlrPgiIwuf/xT7/ukZwc=,G6QcsNZrle1myUCMiVInJoTWRMQ=
-4,0,l4JujtiOO4yPL6QGb3SWA//x1qg=,Ii5UmuM4aMDcNMAf3/hz7k40aLQ=
-4,1,b+7s87F5owX10r84/Elal1njZ3Y=,Ii5UmuM4aMDcNMAf3/hz7k40aLQ=
-3,1,l4JujtiOO4yPL6QGb3SWA//x1qg=,Ii5UmuM4aMDcNMAf3/hz7k40aLQ=
-3,0,l4JujtiOO4yPL6QGb3SWA//x1qg=,Ii5UmuM4aMDcNMAf3/hz7k40aLQ=
-3,5,b+7s87F5owX10r84/Elal1njZ3Y=,tgBP/3wTKGSfpMs3uEc+Fjc2vDg=
-3,4,b+7s87F5owX10r84/Elal1njZ3Y=,tgBP/3wTKGSfpMs3uEc+Fjc2vDg=
-3,6,b+7s87F5owX10r84/Elal1njZ3Y=,uEfJo4q6SLcrxJjtOIeRiD3cI0w=
-2,4,E4ZFVX44ifufdADUv+SkE9ep90A=,7npz9t+fBKsO6mwcnmIurxBiRw0=
-2,6,b+7s87F5owX10r84/Elal1njZ3Y=,fuRiAFHFtWUhnMaKwt+CN8VXa9g=
-2,5,E4ZFVX44ifufdADUv+SkE9ep90A=,7npz9t+fBKsO6mwcnmIurxBiRw0=
-3,8,v0aqpMVWewd3XHNDce7o+Cepiic=,HTumlceQf7GrTprVbpgu2BqJAIw=
-3,7,v0aqpMVWewd3XHNDce7o+Cepiic=,uEfJo4q6SLcrxJjtOIeRiD3cI0w=
-2,9,1r6tbnt+77j2lfqsfaDH78t/xyk=,KnYO25COlleXLiG10JEyysrld/w=
-3,9,l4JujtiOO4yPL6QGb3SWA//x1qg=,HTumlceQf7GrTprVbpgu2BqJAIw=
-1,9,1r6tbnt+77j2lfqsfaDH78t/xyk=,KnYO25COlleXLiG10JEyysrld/w=
-4,8,l4JujtiOO4yPL6QGb3SWA//x1qg=,HTumlceQf7GrTprVbpgu2BqJAIw=
-4,9,l4JujtiOO4yPL6QGb3SWA//x1qg=,HTumlceQf7GrTprVbpgu2BqJAIw=
-4,7,l4JujtiOO4yPL6QGb3SWA//x1qg=,uEfJo4q6SLcrxJjtOIeRiD3cI0w=
-4,6,otfIp5dO4QPAPbQV8FFj62s6+UE=,uEfJo4q6SLcrxJjtOIeRiD3cI0w=
-4,4,b+7s87F5owX10r84/Elal1njZ3Y=,tgBP/3wTKGSfpMs3uEc+Fjc2vDg=
-4,5,otfIp5dO4QPAPbQV8FFj62s6+UE=,tgBP/3wTKGSfpMs3uEc+Fjc2vDg=
-1,7,l4JujtiOO4yPL6QGb3SWA//x1qg=,fuRiAFHFtWUhnMaKwt+CN8VXa9g=
-2,8,1r6tbnt+77j2lfqsfaDH78t/xyk=,KnYO25COlleXLiG10JEyysrld/w=
-1,8,1r6tbnt+77j2lfqsfaDH78t/xyk=,KnYO25COlleXLiG10JEyysrld/w=
-2,7,v0aqpMVWewd3XHNDce7o+Cepiic=,fuRiAFHFtWUhnMaKwt+CN8VXa9g=
-1,4,E4ZFVX44ifufdADUv+SkE9ep90A=,7npz9t+fBKsO6mwcnmIurxBiRw0=
-1,6,l4JujtiOO4yPL6QGb3SWA//x1qg=,fuRiAFHFtWUhnMaKwt+CN8VXa9g=
